ix,iy,grid_x,grid_y,dx_sub,dy_sub,peak,second_peak,map_x,map_y,dx_m,dy_m,dx_ref_px,dy_ref_px
1,21,357,1950,-9.489510376872717,-19.72167666848518,0.5209337472915649,0.37443187832832336,-2839994.96,-1548147.33,-44.79048897883922,-93.08631387525004,-22.39524448941961,-46.54315693762502
4,21,522,1950,8.03892102966713,2.0373873809895797,0.5941221714019775,0.4401196241378784,-2839216.16,-1548147.33,37.94370726002885,9.616468438270816,18.971853630014426,4.808234219135408
5,21,578,1950,16.141413683031466,2.9533764165320315,0.4149043560028076,0.2354629784822464,-2838951.84,-1548147.33,76.18747258390852,13.939936686031189,38.09373629195426,6.969968343015594
14,21,1074,1950,26.14961066497691,3.570407577239566,0.6829221248626709,0.4374729096889496,-2836610.72,-1548147.33,123.426162338691,16.852323764570748,61.7130811693455,8.426161882285374
15,21,1130,1950,-11.488186009033504,18.32793450433941,0.6854349970817566,0.5740663409233093,-2836346.4,-1548147.33,-54.224237962638135,86.50785086048201,-27.112118981319068,43.253925430241004
6,22,629,2029,12.09944534489171,2.9895255268901937,0.7184739112854004,0.5792884230613708,-2838711.12,-1548520.21,57.10938202788886,14.110560486921713,28.55469101394443,7.055280243460857
8,22,739,2029,-13.333453113187295,9.020250388029007,0.6528337597846985,0.4283832609653473,-2838191.92,-1548520.21,-62.93389869424403,42.57558183149691,-31.466949347122014,21.287790915748456
9,22,794,2029,-21.706280394886644,-11.14036148379311,0.5285865664482117,0.43286433815956116,-2837932.32,-1548520.21,-102.45364346386495,-52.58250620350348,-51.226821731932475,-26.29125310175174
13,22,1014,2029,3.4100905077087518,10.63117817402063,0.7496076226234436,0.4690869450569153,-2836893.92,-1548520.21,16.09562719638531,50.179160981377365,8.047813598192654,25.089580490688682
15,22,1125,2029,-2.9517216456425257,-28.63192028302491,0.5330660343170166,0.41430923342704773,-2836370.0,-1548520.21,-13.93212616743272,-135.14266373587756,-6.96606308371636,-67.57133186793878
4,23,514,2108,-18.786345568553937,-15.892469909181893,0.6865689754486084,0.38112255930900574,-2839253.92,-1548893.09,-88.67155108357458,-75.01245797133853,-44.33577554178729,-37.50622898566927
7,23,679,2108,-14.967430170001524,13.97648036869965,0.6593919396400452,0.37452515959739685,-2838475.12,-1548893.09,-70.6462704024072,65.96898734026234,-35.3231352012036,32.98449367013117
8,23,735,2108,-14.532357770836992,12.389327910982463,0.8722938299179077,0.7036343216896057,-2838210.8,-1548893.09,-68.5927286783506,58.47762773983722,-34.2963643391753,29.23881386991861
9,23,790,2108,-13.374272520888159,11.011889089913586,0.616966724395752,0.3984780013561249,-2837951.2,-1548893.09,-63.1265662985921,51.976116504392124,-31.56328314929605,25.988058252196062
11,23,900,2108,-12.605252748025544,-19.20988334184421,0.7541338205337524,0.4004024863243103,-2837432.0,-1548893.09,-59.496792970680566,-90.67064937350467,-29.748396485340283,-45.33532468675234
12,23,955,2108,5.931494256004467,-1.413462324095336,0.6246026158332825,0.47731250524520874,-2837172.4,-1548893.09,27.996652888341085,-6.671542169729985,13.998326444170543,-3.3357710848649926
13,23,1010,2108,12.795379112918019,20.033238440930877,0.8379893898963928,0.6308983564376831,-2836912.8,-1548893.09,60.39418941297304,94.55688544119373,30.19709470648652,47.278442720596864
7,24,674,2187,18.363093034040702,-5.239587393549891,0.4894428849220276,0.38165992498397827,-2838498.72,-1549265.97,86.67379912067211,-24.73085249755548,43.33689956033606,-12.36542624877774
8,24,729,2187,-2.7571367703451215,21.80243258368219,0.912952721118927,0.7718414664268494,-2838239.12,-1549265.97,-13.013685556028973,102.90748179497993,-6.506842778014486,51.453740897489965
13,24,1005,2187,5.828793097211117,7.354915141715087,0.6478037238121033,0.4919092059135437,-2836936.4,-1549265.97,27.511903418836468,34.71519946889521,13.755951709418234,17.357599734447604
14,24,1060,2187,5.670739341561282,7.359982846632862,0.6301934719085693,0.48693451285362244,-2836676.8,-1549265.97,26.76588969216925,34.739119036107105,13.382944846084625,17.369559518053553
15,24,1116,2187,-16.115186629994668,26.665285476663293,0.7930648326873779,0.4284888803958893,-2836412.48,-1549265.97,-76.06368089357483,125.86014744985073,-38.03184044678741,62.930073724925364
5,25,558,2266,-13.944730449495188,4.849114795747626,0.5327165126800537,0.41975757479667664,-2839046.24,-1549638.85,-65.81912772161728,22.887821835928793,-32.90956386080864,11.443910917964397
10,25,834,2266,-17.68634838041671,-14.770863211427717,0.8010841012001038,0.5685285329818726,-2837743.52,-1549638.85,-83.47956435556686,-69.71847435793882,-41.73978217778343,-34.85923717896941
15,25,1111,2266,-8.757464881814597,9.270592897480137,0.8156843781471252,0.6257972717285156,-2836436.08,-1549638.85,-41.335234242164894,43.75719847610625,-20.667617121082447,21.878599238053123
4,26,498,2345,-15.477030726816565,-21.900796981258527,0.5655000805854797,0.3945828676223755,-2839329.44,-1550011.73,-73.05158503057419,-103.37176175154023,-36.525792515287094,-51.68588087577012
