# Stage P tie points: ch2_ohr_ncp_20211023T0027462822_d_img_d18 (source) to NAC_DTM_VIKRAMSITE1_M1442997156_100CM.TIF (reference), Chandrayaan-3 landing site.
# src_line/src_sample: 0-based position in the full-resolution source .img.
# ref_x/ref_y: reference CRS (polar stereographic, lat_ts -69.3, lon_0 32.3, R 1737400 m); ref_col/ref_row: 0-based pixel centre in the reference GeoTIFF.
# isro_geo_dx/dy_m: reference position minus the position the ISRO geometry CSV assigns to the same source pixel.
# Residuals in fine source-frame px (1 px = 1.134 m on the ground). heldout_residual_px: stripes scheme, model never saw the node.
# Reference error: lola_rms 1.85 m. Residuals are relative to the reference, not ground-truth errors.
id,src_line,src_sample,ref_x,ref_y,lon,lat,ref_col,ref_row,isro_geo_dx_m,isro_geo_dy_m,ncc_peak,ncc_second,fit_residual_px,is_inlier,heldout_fold,heldout_residual_px
78,26505.50,6273.50,516.925,605859.615,32.34888527,-69.57275799,11561.425,32399.885,495.60,-3687.44,0.8027,0.3683,0.4173,1,0,1.2104
79,26505.50,6657.50,410.180,605867.267,32.33878999,-69.57250813,11454.680,32392.233,497.47,-3688.44,0.7280,0.2247,0.4909,1,0,1.8045
80,26505.50,7041.50,302.755,605875.696,32.32863057,-69.57223199,11347.255,32383.804,498.72,-3688.67,0.8515,0.7354,0.2176,1,0,1.9041
81,26505.50,7425.50,192.573,605885.083,32.31821072,-69.57192367,11237.073,32374.417,497.28,-3687.95,0.7624,0.4985,0.5308,1,0,2.0324
82,26505.50,7809.50,83.996,605893.541,32.30794302,-69.57164533,11128.496,32365.959,497.52,-3688.16,0.7461,0.3853,0.4189,1,0,2.3860
83,26505.50,8193.50,-26.207,605902.812,32.29752181,-69.57133947,11018.293,32356.688,496.19,-3687.56,0.8665,0.7459,0.1846,1,0,2.4589
84,26505.50,8577.50,-136.447,605912.107,32.28709738,-69.57103220,10908.053,32347.393,494.89,-3686.94,0.7466,0.4489,0.1106,1,0,2.5687
85,26505.50,8961.50,-246.904,605921.617,32.27665279,-69.57071715,10797.596,32337.883,493.45,-3686.11,0.8327,0.5653,0.2647,1,0,2.6615
86,26505.50,9345.50,-355.896,605930.447,32.26634706,-69.57042394,10688.604,32329.053,493.53,-3685.97,0.8741,0.7015,0.4561,1,0,2.9464
87,26505.50,10113.50,-572.985,605946.699,32.24582092,-69.56988202,10471.515,32312.801,494.79,-3687.10,0.8622,0.6695,0.4354,1,0,4.2107
88,26505.50,10497.50,-681.337,605954.977,32.23557649,-69.56960510,10363.163,32304.523,495.72,-3687.53,0.8711,0.6000,0.3667,1,0,4.3090
89,26505.50,10881.50,-791.690,605964.564,32.22514336,-69.56928425,10252.810,32294.936,494.71,-3686.64,0.9181,0.7683,0.6326,1,0,4.2582
90,26505.50,11265.50,-909.439,605975.431,32.21401140,-69.56892010,10135.061,32284.069,486.37,-3684.48,0.6151,0.5048,0.4730,1,0,6.1993
91,26505.50,11649.50,-1027.553,605986.923,32.20284548,-69.56853457,10016.947,32272.577,477.73,-3681.71,0.5110,0.4155,0.3801,1,0,6.5432
92,26889.50,2817.50,1486.171,605886.156,32.44053990,-69.57182910,12530.671,32373.344,484.45,-3686.69,0.8849,0.6284,0.9589,1,0,0.3788
93,26889.50,3201.50,1373.492,605897.049,32.42988209,-69.57147835,12417.992,32362.451,479.79,-3684.41,0.7676,0.4945,0.8002,1,0,0.4447
94,26889.50,3585.50,1261.395,605907.070,32.41927983,-69.57115564,12305.895,32352.430,475.78,-3683.00,0.7999,0.4749,0.1949,1,0,0.3180
95,26889.50,3969.50,1150.933,605916.699,32.40883268,-69.57084508,12195.433,32342.801,473.47,-3682.00,0.8669,0.5736,0.3456,1,0,0.5936
96,26889.50,4353.50,1042.014,605926.233,32.39853172,-69.57053689,12086.514,32333.267,472.77,-3681.09,0.8478,0.4759,0.2453,1,0,0.4151
97,26889.50,4737.50,936.878,605933.819,32.38858910,-69.57029218,11981.378,32325.681,475.92,-3682.13,0.7758,0.3870,0.2880,1,0,0.6718
98,26889.50,5121.50,832.748,605941.634,32.37874176,-69.57003926,11877.248,32317.866,480.14,-3682.96,0.7302,0.3791,0.6463,1,0,0.5994
99,26889.50,6273.50,522.174,605963.017,32.34937320,-69.56934494,11566.674,32296.483,495.00,-3687.51,0.7197,0.5191,0.9272,1,0,0.9828
100,26889.50,6657.50,417.411,605970.327,32.33946706,-69.56910634,11461.911,32289.173,498.85,-3688.85,0.7545,0.3449,0.3264,1,0,0.9825
101,26889.50,7041.50,311.474,605978.349,32.32945012,-69.56884368,11355.974,32281.151,501.60,-3689.49,0.8067,0.3705,0.1446,1,0,0.9524
102,26889.50,7425.50,203.074,605986.530,32.31920059,-69.56857518,11247.574,32272.970,501.94,-3689.97,0.7646,0.3004,0.5944,1,0,1.5086
103,26889.50,7809.50,94.802,605995.731,32.30896334,-69.56827237,11139.302,32263.769,502.48,-3689.44,0.8175,0.4928,0.2607,1,0,1.0177
104,26889.50,8193.50,-15.537,606004.603,32.29853106,-69.56797977,11028.963,32254.897,501.02,-3689.24,0.7902,0.3102,0.2175,1,0,1.4585
105,26889.50,8577.50,-125.689,606013.959,32.28811665,-69.56767054,10918.811,32245.541,499.81,-3688.56,0.8525,0.6525,0.2390,1,0,1.3362
106,26889.50,8961.50,-236.395,606023.573,32.27765027,-69.56735213,10808.105,32235.927,498.11,-3687.63,0.8706,0.7351,0.4350,1,0,1.1581
107,26889.50,9345.50,-346.387,606032.581,32.26725171,-69.56705307,10698.113,32226.919,497.20,-3687.31,0.8761,0.6088,0.2830,1,0,1.4188
108,26889.50,9729.50,-455.613,606040.803,32.25692585,-69.56677932,10588.887,32218.697,497.11,-3687.78,0.8821,0.5138,0.1431,1,0,1.9337
109,26889.50,10113.50,-565.603,606049.724,32.24652803,-69.56648182,10478.897,32209.776,496.33,-3687.55,0.8719,0.4696,0.3566,1,0,1.9854
110,26889.50,10497.50,-675.491,606058.478,32.23614018,-69.56618917,10369.009,32201.022,495.72,-3687.50,0.8557,0.4215,0.3601,1,0,2.2708
111,26889.50,10881.50,-787.252,606069.028,32.22557582,-69.56583652,10257.248,32190.472,493.30,-3685.66,0.7076,0.5486,1.1923,1,0,1.3759
112,26889.50,11265.50,-904.920,606079.844,32.21445343,-69.56547409,10139.580,32179.656,485.05,-3683.55,0.8035,0.6369,0.1737,1,0,2.7158
113,26889.50,11649.50,-1022.863,606091.122,32.20330549,-69.56509568,10021.637,32168.378,476.58,-3680.98,0.6641,0.5685,0.4588,1,0,3.7645
114,27273.50,2817.50,1489.917,605990.573,32.44086986,-69.56838240,12534.417,32268.927,482.33,-3685.74,0.9177,0.7518,1.5489,0,0,1.6745
115,27273.50,3201.50,1374.628,606001.967,32.42996702,-69.56801533,12419.128,32257.533,475.07,-3682.96,0.9144,0.7563,0.8629,1,0,0.9751
116,27273.50,3585.50,1264.636,606011.342,32.41956579,-69.56771382,12309.136,32248.158,473.16,-3682.21,0.8507,0.5013,0.3449,1,0,0.3903
117,27273.50,3969.50,1154.643,606021.015,32.40916468,-69.56740179,12199.143,32238.485,471.32,-3681.15,0.8324,0.4938,0.1611,1,0,0.2004
118,27273.50,4353.50,1045.956,606030.301,32.39888751,-69.56710182,12090.456,32229.199,470.86,-3680.50,0.7993,0.3578,0.2472,1,0,0.1537
119,27273.50,4737.50,939.808,606038.897,32.38885067,-69.56682382,11984.308,32220.603,472.99,-3680.53,0.8119,0.5146,0.5527,1,0,0.3644
