# Local planar approximation about anchor (-89.72070, 223.12570). Lunar radius 1737400 m. CAUTION: At extreme polar latitude -89.72S, cos(lat) ~ 0.00487 compresses longitudinal degree width to ~147.8 m/deg; planar approximation degrades near pole. For rigorous cartographic positioning, use Lunar Polar Stereographic (EPSG/IAU2000:30120). Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
198,767.58,884.77,830.15,876.03,29.1104,0,-89.7328812,224.8634931,-89.7333487,225.4038776,0.0000
199,908.20,876.95,918.27,862.18,23.9257,0,-89.7326339,225.7767858,-89.7328827,226.0119303,0.0000
200,76.17,919.92,79.26,904.57,67.6709,0,-89.7339942,220.3731372,-89.7343088,220.2224030,0.0000
201,107.42,912.11,105.43,917.42,50.8408,0,-89.7337469,220.5760911,-89.7347408,220.4029909,0.0000
202,138.67,912.11,142.35,917.01,45.7772,0,-89.7337469,220.7790451,-89.7347272,220.6577261,0.0000
203,205.08,892.58,238.96,892.64,35.6845,0,-89.7331285,221.2103222,-89.7339074,221.3244243,0.0000
204,236.33,892.58,267.74,902.91,22.8765,0,-89.7331285,221.4132761,-89.7342530,221.5229837,0.0000
205,267.58,892.58,301.40,892.98,30.5052,0,-89.7331285,221.6162301,-89.7339190,221.7552656,0.0000
206,298.83,892.58,331.16,894.47,26.5206,0,-89.7331285,221.8191840,-89.7339688,221.9606354,0.0000
207,330.08,900.39,359.85,895.18,31.3296,0,-89.7333759,222.0221380,-89.7339930,222.1586341,0.0000
208,361.33,892.58,389.01,898.34,18.2774,0,-89.7331285,222.2250919,-89.7340991,222.3598333,0.0000
209,392.58,896.48,455.04,903.46,33.3867,0,-89.7332522,222.4280458,-89.7342714,222.8154629,0.0000
210,513.67,904.30,521.50,892.58,34.9147,0,-89.7334995,223.2144923,-89.7339054,223.2740572,0.0000
211,544.92,912.11,560.48,910.28,21.9365,0,-89.7337469,223.4174463,-89.7345007,223.5430537,0.0000
212,576.17,919.92,605.83,920.19,8.7928,1,-89.7339942,223.6204002,-89.7348340,223.8559802,0.4138
213,673.83,892.58,736.43,902.95,31.0272,0,-89.7331285,224.2546313,-89.7342541,224.7571927,0.0000
214,720.70,892.58,795.76,892.63,41.4524,0,-89.7331285,224.5590622,-89.7339070,225.1665594,0.0000
215,767.58,900.39,798.83,892.65,3.4273,1,-89.7333759,224.8634931,-89.7339077,225.1877741,0.7715
216,798.83,904.30,842.64,908.24,16.4795,0,-89.7334995,225.0664471,-89.7344322,225.4900833,0.0000
