# Local planar approximation about anchor (-70.85000, 32.26000). Lunar radius 1737400 m. Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
161,460.94,301.56,439.99,329.10,27.6729,0,-70.8346776,32.2889148,-70.6901194,32.5349135,0.0000
162,660.94,310.94,662.55,311.36,15.9231,0,-70.8361369,32.3838145,-70.6501047,34.0648055,0.0000
163,682.81,310.94,687.03,311.21,14.9596,0,-70.8361369,32.3941941,-70.6497820,34.2331075,0.0000
164,60.94,335.94,51.59,363.51,16.3936,0,-70.8400283,32.0991154,-70.7677135,29.8649402,0.0000
165,214.06,335.94,213.26,328.56,25.4160,0,-70.8400283,32.1717729,-70.6889084,30.9763200,0.0000
166,239.06,335.94,214.74,328.49,26.2835,0,-70.8400283,32.1836354,-70.6887502,30.9864910,0.0000
167,264.06,335.94,239.06,327.03,28.5200,0,-70.8400283,32.1954979,-70.6854501,31.1536922,0.0000
168,310.94,335.94,273.73,338.17,32.9533,0,-70.8400283,32.2177400,-70.7105688,31.3920257,0.0000
169,317.19,335.94,291.01,333.89,25.9343,0,-70.8400283,32.2207056,-70.7009256,31.5107650,0.0000
170,360.94,335.94,364.06,362.12,13.6833,1,-70.8400283,32.2414649,-70.7645795,32.0129428,0.0878
171,410.94,335.94,413.38,345.95,5.2506,1,-70.8400283,32.2651898,-70.7281234,32.3519971,0.6500
172,432.81,329.69,435.75,361.40,18.3266,0,-70.8390555,32.2755695,-70.7629501,32.5057389,0.0000
173,439.06,326.56,440.48,361.47,21.5670,0,-70.8385690,32.2785351,-70.7631045,32.5382375,0.0000
174,710.94,314.06,710.95,336.72,20.1208,0,-70.8366233,32.4075394,-70.7072972,34.3974987,0.0000
175,214.06,360.94,209.88,352.05,26.8357,0,-70.8439197,32.1717729,-70.7418715,30.9530825,0.0000
176,239.06,360.94,223.30,374.94,5.6763,1,-70.8439197,32.1836354,-70.7934922,31.0453138,0.6216
