# Stage O tie points: Chandrayaan-2 TMC-2 (source) to LROC NAC DTM orthophoto (reference), Pitiscus.
# tmc_scan/tmc_pixel: 0-based line/sample in ch2_tmc_ncn_20230130T1900132182_d_img_d32.img (via ISRO geometry CSV).
# nac_col/nac_row: 0-based pixel-centre index in NAC_DTM_PITISCUS_M1149280834_2M.TIF.
# map_x/map_y: metres, equirectangular Moon sphere R=1737400, std parallel -51, CM 180 (NAC CRS). lon/lat in degrees.
# Residuals in common-grid px (1 px = 4.72 m). heldout_residual_px: spatial-block 5-fold, model never saw the node.
# Reference error: lola_rms 0.92 m. These are relative residuals, not ground-truth errors.
id,tmc_scan,tmc_pixel,grid_src_x,grid_src_y,grid_ref_x,grid_ref_y,map_x,map_y,lon,lat,nac_col,nac_row,ncc_peak,ncc_second,fit_residual_px,is_inlier,spatial_fold,heldout_residual_px
91,245762.375,961.734,464,272,548.9736,1071.9902,-2839088.845,-1544003.124,31.22498777,-50.91795934,1295.078,3333.062,0.6554,0.3920,0.3066,1,0,1.7243
92,245761.605,913.730,512,272,599.4216,1071.8643,-2838850.730,-1544002.529,31.23746554,-50.91793973,1414.135,3332.765,0.6730,0.4466,0.4664,1,0,1.7470
93,245760.823,865.739,560,272,648.8071,1071.8948,-2838617.630,-1544002.674,31.24968051,-50.91794449,1530.685,3332.837,0.7072,0.3438,0.4381,1,0,0.7352
94,245760.037,817.737,608,272,699.2058,1071.6758,-2838379.749,-1544001.640,31.26214609,-50.91791040,1649.626,3332.320,0.6502,0.2957,0.3185,1,0,0.7667
95,245759.241,769.746,656,272,748.9624,1071.4118,-2838144.898,-1544000.394,31.27445284,-50.91786931,1767.051,3331.697,0.7793,0.5368,0.8149,1,0,0.2980
96,245758.440,721.749,704,272,799.9856,1071.6060,-2837904.068,-1544001.310,31.28707287,-50.91789953,1887.466,3332.155,0.7900,0.5497,0.0668,1,0,0.8935
97,245757.630,673.759,752,272,850.1423,1071.6756,-2837667.328,-1544001.639,31.29947861,-50.91791036,2005.836,3332.319,0.6491,0.4965,0.1654,1,0,0.8007
98,245755.991,577.777,848,272,950.3393,1071.0831,-2837194.399,-1543998.842,31.32426125,-50.91781813,2242.301,3330.921,0.6274,0.3213,0.2243,1,0,0.5032
99,245755.160,529.789,896,272,1000.6271,1071.1294,-2836957.040,-1543999.061,31.33669940,-50.91782534,2360.980,3331.030,0.6222,0.3380,0.1374,1,0,0.5760
100,245754.323,481.801,944,272,1049.9375,1070.9776,-2836724.295,-1543998.344,31.34889579,-50.91780172,2477.352,3330.672,0.6269,0.4850,0.6625,1,0,0.2818
101,245753.476,433.817,992,272,1099.7472,1070.9179,-2836489.193,-1543998.062,31.36121569,-50.91779242,2594.903,3330.531,0.7124,0.6338,0.9133,1,0,0.6129
102,245752.626,385.830,1040,272,1150.3269,1070.6202,-2836250.457,-1543996.657,31.37372603,-50.91774608,2714.271,3329.829,0.6613,0.5728,0.4342,1,0,0.1849
103,245751.764,337.852,1088,272,1200.1330,1070.7352,-2836015.372,-1543997.200,31.38604503,-50.91776399,2831.814,3330.100,0.6416,0.3448,0.5932,1,0,0.4341
104,245720.568,1154.504,272,320,349.1774,1120.2370,-2840031.883,-1544230.848,31.17557032,-50.92546921,823.559,3446.924,0.6101,0.3075,1.7818,0,0,3.7378
105,245719.827,1106.508,320,320,399.0298,1120.2430,-2839796.579,-1544230.877,31.18790079,-50.92547015,941.210,3446.939,0.6798,0.3737,1.2571,1,0,3.0605
106,245719.072,1058.516,368,320,449.4126,1120.0144,-2839558.773,-1544229.798,31.20036242,-50.92543457,1060.114,3446.399,0.6335,0.2650,1.3096,1,0,2.9497
107,245718.316,1010.523,416,320,499.0898,1120.0597,-2839324.296,-1544230.012,31.21264954,-50.92544162,1177.352,3446.506,0.6400,0.2369,0.6478,1,0,2.1513
108,245717.548,962.532,464,320,549.4463,1119.8762,-2839086.614,-1544229.146,31.22510468,-50.92541307,1296.193,3446.073,0.6537,0.2495,0.7221,1,0,2.0711
109,245716.777,914.542,512,320,599.1593,1119.8979,-2838851.968,-1544229.248,31.23740066,-50.92541643,1413.516,3446.124,0.6942,0.4937,0.1602,1,0,1.3661
110,245715.995,866.552,560,320,648.9124,1119.8224,-2838617.134,-1544228.892,31.24970655,-50.92540469,1530.933,3445.946,0.7964,0.5665,0.3954,1,0,0.7348
111,245715.209,818.566,608,320,699.6146,1119.8185,-2838377.819,-1544228.873,31.26224720,-50.92540408,1650.590,3445.937,0.6311,0.3523,0.0807,1,0,1.0829
112,245714.413,770.576,656,320,748.7495,1119.4921,-2838145.903,-1544227.333,31.27440018,-50.92535328,1766.549,3445.166,0.7014,0.4773,1.0245,1,0,0.1976
113,245713.611,722.593,704,320,799.2593,1119.2324,-2837907.496,-1544226.107,31.28689325,-50.92531285,1885.752,3444.553,0.6456,0.3021,0.7837,1,0,0.3366
114,245712.802,674.605,752,320,849.1757,1118.9543,-2837671.891,-1544224.794,31.29923953,-50.92526955,2003.555,3443.897,0.6626,0.5225,1.0902,1,0,0.5540
